Variable,Importancia
cat__previous_loan_defaults_on_file_No,0.29609554826306506
remainder__loan_int_rate,0.11042719978017047
remainder__loan_percent_income,0.10386076279964611
cat__person_home_ownership_RENT,0.07450179521577387
remainder__person_income,0.07325995475966014
cat__person_home_ownership_MORTGAGE,0.05277838863753142
remainder__loan_amnt,0.03706322823559668
remainder__credit_score,0.030499192185181108
cat__person_gender_female,0.02460064460202833
cat__loan_intent_DEBTCONSOLIDATION,0.021555575512062074
remainder__person_age,0.020925135291682172
cat__loan_intent_VENTURE,0.01893692434991622
cat__loan_intent_EDUCATION,0.018878901068067253
remainder__cb_person_cred_hist_length,0.01821246314825414
cat__loan_intent_MEDICAL,0.017144812153463584
cat__person_education_Bachelor,0.015087324225954999
cat__person_education_High School,0.013903117297858323
cat__person_education_Associate,0.011526381336352793
cat__loan_intent_PERSONAL,0.010934560472600148
cat__loan_intent_HOMEIMPROVEMENT,0.01053817322019824
cat__person_home_ownership_OWN,0.009753360967988248
cat__person_education_Master,0.007997693852482073
cat__person_education_Doctorate,0.001094865848075097
cat__person_home_ownership_OTHER,0.00042399677639149845
